
## compliance-dock
North wall west [[-6.8, 15.8, 0.0], [-2.3, 16.08, 4.4]]
Wall_W-2.2_0_1.2_vertical_web.001 [[-2.2, 11.165, 0.0], [-2.04, 11.235, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.002 [[-2.196, 11.095, 0.0], [-2.168, 11.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.003 [[-2.068, 11.095, 0.0], [-2.04, 11.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_web.002 [[-2.2, 9.165, 0.0], [-2.04, 9.235, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.004 [[-2.196, 9.095, 0.0], [-2.168, 9.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.005 [[-2.068, 9.095, 0.0], [-2.04, 9.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_web.003 [[-2.2, 7.165, 0.0], [-2.04, 7.235, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.006 [[-2.196, 7.095, 0.0], [-2.168, 7.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.007 [[-2.068, 7.095, 0.0], [-2.04, 7.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_web.004 [[-2.2, 5.165, 0.0], [-2.04, 5.235, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.008 [[-2.196, 5.095, 0.0], [-2.168, 5.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.009 [[-2.068, 5.095, 0.0], [-2.04, 5.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_web.005 [[-2.2, 3.165, 0.0], [-2.04, 3.235, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.010 [[-2.196, 3.095, 0.0], [-2.168, 3.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.011 [[-2.068, 3.095, 0.0], [-2.04, 3.305, 4.4]]
Wall_W-2.2_0_1.2_vertical_web.006 [[-2.2, 1.295, 0.0], [-2.04, 1.365, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.012 [[-2.196, 1.225, 0.0], [-2.168, 1.435, 4.4]]
Wall_W-2.2_0_1.2_vertical_flange.013 [[-2.068, 1.225, 0.0], [-2.04, 1.435, 4.4]]
Wall_W-2.2_0_1.2_panel_joint [[-2.208, 10.794, 1.3], [-2.192, 10.806, 4.4]]
Wall_W-2.2_0_1.2_panel_joint.001 [[-2.208, 8.394, 1.3], [-2.192, 8.406, 4.4]]
Wall_W-2.2_0_1.2_panel_joint.002 [[-2.208, 5.994, 1.3], [-2.192, 6.006, 4.4]]
Wall_W-2.2_0_1.2_panel_joint.003 [[-2.208, 3.594, 1.3], [-2.192, 3.606, 4.4]]
Wall_N13.2_0_-2.2_concrete [[-2.2, 13.24, 0.0], [-1.2, 13.54, 4.4]]
Wall_N13.2_0_-2.2_vertical_web [[-1.365, 13.04, 0.0], [-1.295, 13.2, 4.4]]
Wall_N13.2_0_-2.2_vertical_flange [[-1.435, 13.168, 0.0], [-1.225, 13.196, 4.4]]
Wall_N13.2_0_-2.2_vertical_flange.001 [[-1.435, 13.04, 0.0], [-1.225, 13.068, 4.4]]
Wall_N13.2_0_-2.2_vertical_web.001 [[-2.105, 13.04, 0.0], [-2.035, 13.2, 4.4]]
Wall_N13.2_0_-2.2_vertical_flange.002 [[-2.175, 13.168, 0.0], [-1.965, 13.196, 4.4]]
Wall_N13.2_0_-2.2_vertical_flange.003 [[-2.175, 13.04, 0.0], [-1.965, 13.068, 4.4]]
Wall_N13.2_1_1.2_concrete [[1.2, 13.24, 0.0], [4.4, 13.54, 4.4]]
Wall_N13.2_1_1.2_vertical_web [[4.235, 13.04, 0.0], [4.305, 13.2, 4.4]]
Wall_N13.2_1_1.2_vertical_flange [[4.165, 13.168, 0.0], [4.375, 13.196, 4.4]]
Wall_N13.2_1_1.2_vertical_flange.001 [[4.165, 13.04, 0.0], [4.375, 13.068, 4.4]]
Wall_N13.2_1_1.2_vertical_web.001 [[2.765, 13.04, 0.0], [2.835, 13.2, 4.4]]
Wall_N13.2_1_1.2_vertical_flange.002 [[2.695, 13.168, 0.0], [2.905, 13.196, 4.4]]
Wall_N13.2_1_1.2_vertical_flange.003 [[2.695, 13.04, 0.0], [2.905, 13.068, 4.4]]
Wall_N13.2_1_1.2_vertical_web.002 [[1.295, 13.04, 0.0], [1.365, 13.2, 4.4]]
Wall_N13.2_1_1.2_vertical_flange.004 [[1.225, 13.168, 0.0], [1.435, 13.196, 4.4]]
Wall_N13.2_1_1.2_vertical_flange.005 [[1.225, 13.04, 0.0], [1.435, 13.068, 4.4]]
Wall_N13.2_1_1.2_panel_joint [[2.794, 13.192, 1.3], [2.806, 13.208, 4.4]]
Wall_N13.2_2_10_concrete [[10.0, 13.24, 0.0], [12.0, 13.54, 4.4]]
Wall_N13.2_2_10_vertical_web [[11.835, 13.04, 0.0], [11.905, 13.2, 4.4]]
Wall_N13.2_2_10_vertical_flange [[11.765, 13.168, 0.0], [11.975, 13.196, 4.4]]
Wall_N13.2_2_10_vertical_flange.001 [[11.765, 13.04, 0.0], [11.975, 13.068, 4.4]]
Wall_N13.2_2_10_vertical_web.001 [[10.095, 13.04, 0.0], [10.165, 13.2, 4.4]]
Wall_N13.2_2_10_vertical_flange.002 [[10.025, 13.168, 0.0], [10.235, 13.196, 4.4]]
Wall_N13.2_2_10_vertical_flange.003 [[10.025, 13.04, 0.0], [10.235, 13.068, 4.4]]
Wall_S0_0_-1.6_concrete [[-1.6, 0.0, 0.0], [-1.42, 0.3, 3.9]]
Wall_S0_0_-1.6_vertical_web [[-1.545, 0.34, 0.0], [-1.475, 0.5, 3.9]]
Wall_S0_0_-1.6_vertical_flange [[-1.615, 0.344, 0.0], [-1.405, 0.372, 3.9]]
Wall_S0_0_-1.6_vertical_flange.001 [[-1.615, 0.472, 0.0], [-1.405, 0.5, 3.9]]
Wall_S0_0_1.42_concrete [[1.42, 0.0, 0.0], [1.6, 0.3, 3.9]]
Wall_S0_0_1.42_vertical_web [[1.475, 0.34, 0.0], [1.545, 0.5, 3.9]]
Wall_S0_0_1.42_vertical_flange [[1.405, 0.344, 0.0], [1.615, 0.372, 3.9]]
Wall_S0_0_1.42_vertical_flange.001 [[1.405, 0.472, 0.0], [1.615, 0.5, 3.9]]
Wall_W-1.6_0_0_concrete [[-1.94, -0.0, 0.0], [-1.64, 1.2, 3.9]]
Wall_W-1.6_0_0_vertical_web [[-1.6, 1.035, 0.0], [-1.44, 1.105, 3.9]]
Wall_W-1.6_0_0_vertical_flange [[-1.596, 0.965, 0.0], [-1.568, 1.175, 3.9]]
Wall_W-1.6_0_0_vertical_flange.001 [[-1.468, 0.965, 0.0], [-1.44, 1.175, 3.9]]
Wall_W-1.6_0_0_vertical_web.001 [[-1.6, 0.095, 0.0], [-1.44, 0.165, 3.9]]
Wall_W-1.6_0_0_vertical_flange.002 [[-1.596, 0.025, 0.0], [-1.568, 0.235, 3.9]]
Wall_W-1.6_0_0_vertical_flange.003 [[-1.468, 0.025, 0.0], [-1.44, 0.235, 3.9]]
Wall_N21_0_-1.5_concrete [[-1.5, 21.04, 0.0], [5.48, 21.34, 3.0]]
Wall_N21_0_7.72_concrete [[7.72, 21.04, 0.0], [11.4, 21.34, 3.0]]
Wall_E1.2_0_13.2_concrete [[1.24, 13.2, 0.0], [1.54, 18.0, 3.0]]
Wall_E1.6_0_0_concrete [[1.64, -0.0, 0.0], [1.94, 1.2, 3.9]]
Wall_E1.6_0_0_vertical_web [[1.44, 0.095, 0.0], [1.6, 0.165, 3.9]]
Wall_E1.6_0_0_vertical_flange [[1.568, 0.025, 0.0], [1.596, 0.235, 3.9]]
Wall_E1.6_0_0_vertical_flange.001 [[1.44, 0.025, 0.0], [1.468, 0.235, 3.9]]
Wall_E1.6_0_0_vertical_web.001 [[1.44, 1.035, 0.0], [1.6, 1.105, 3.9]]
Wall_E1.6_0_0_vertical_flange.002 [[1.568, 0.965, 0.0], [1.596, 1.175, 3.9]]
Wall_E1.6_0_0_vertical_flange.003 [[1.44, 0.965, 0.0], [1.468, 1.175, 3.9]]
Wall_S18.0_0_1.2_concrete [[1.2, 17.66, 0.0], [12.0, 17.96, 3.0]]
Wall_E2.2_0_1.2_concrete [[2.24, 1.2, 0.0], [2.54, 7.0, 4.4]]
Wall_E2.2_0_1.2_vertical_web [[2.04, 1.295, 0.0], [2.2, 1.365, 4.4]]
Wall_E2.2_0_1.2_vertical_flange [[2.168, 1.225, 0.0], [2.196, 1.435, 4.4]]
Wall_E2.2_0_1.2_vertical_flange.001 [[2.04, 1.225, 0.0], [2.068, 1.435, 4.4]]
Wall_E2.2_0_1.2_vertical_web.001 [[2.04, 3.098, 0.0], [2.2, 3.168, 4.4]]
Wall_E2.2_0_1.2_vertical_flange.002 [[2.168, 3.028, 0.0], [2.196, 3.238, 4.4]]
Wall_E2.2_0_1.2_vertical_flange.003 [[2.04, 3.028, 0.0], [2.068, 3.238, 4.4]]
Wall_E2.2_0_1.2_vertical_web.002 [[2.04, 5.032, 0.0], [2.2, 5.102, 4.4]]
Wall_E2.2_0_1.2_vertical_flange.004 [[2.168, 4.962, 0.0], [2.196, 5.172, 4.4]]
Wall_E2.2_0_1.2_vertical_flange.005 [[2.04, 4.962, 0.0], [2.068, 5.172, 4.4]]
Wall_E2.2_0_1.2_vertical_web.003 [[2.04, 6.835, 0.0], [2.2, 6.905, 4.4]]
Wall_E2.2_0_1.2_vertical_flange.006 [[2.168, 6.765, 0.0], [2.196, 6.975, 4.4]]
Wall_E2.2_0_1.2_vertical_flange.007 [[2.04, 6.765, 0.0], [2.068, 6.975, 4.4]]
Wall_E2.2_0_1.2_panel_joint [[2.192, 3.127, 1.3], [2.208, 3.139, 4.4]]
Wall_E2.2_0_1.2_panel_joint.001 [[2.192, 5.061, 1.3], [2.208, 5.073, 4.4]]
Wall_S7_0_2.2_concrete [[2.2, 6.66, 0.0], [4.4, 6.96, 4.4]]
Wall_S7_0_2.2_vertical_web [[2.295, 7.0, 0.0], [2.365, 7.16, 4.4]]
Wall_S7_0_2.2_vertical_flange [[2.225, 7.004, 0.0], [2.435, 7.032, 4.4]]
Wall_S7_0_2.2_vertical_flange.001 [[2.225, 7.132, 0.0], [2.435, 7.16, 4.4]]
Wall_S7_0_2.2_vertical_web.001 [[4.235, 7.0, 0.0], [4.305, 7.16, 4.4]]
Wall_S7_0_2.2_vertical_flange.002 [[4.165, 7.004, 0.0], [4.375, 7.032, 4.4]]
Wall_S7_0_2.2_vertical_flange.003 [[4.165, 7.132, 0.0], [4.375, 7.16, 4.4]]
Wall_S7_1_10_concrete [[10.0, 6.66, 0.0], [16.4, 6.96, 4.4]]
Wall_S7_1_10_vertical_web [[10.095, 7.0, 0.0], [10.165, 7.16, 4.4]]
Wall_S7_1_10_vertical_flange [[10.025, 7.004, 0.0], [10.235, 7.032, 4.4]]
Wall_S7_1_10_vertical_flange.001 [[10.025, 7.132, 0.0], [10.235, 7.16, 4.4]]
Wall_S7_1_10_vertical_web.001 [[12.098, 7.0, 0.0], [12.168, 7.16, 4.4]]
Wall_S7_1_10_vertical_flange.002 [[12.028, 7.004, 0.0], [12.238, 7.032, 4.4]]
Wall_S7_1_10_vertical_flange.003 [[12.028, 7.132, 0.0], [12.238, 7.16, 4.4]]
Wall_S7_1_10_vertical_web.002 [[14.232, 7.0, 0.0], [14.302, 7.16, 4.4]]
Wall_S7_1_10_vertical_flange.004 [[14.162, 7.004, 0.0], [14.372, 7.032, 4.4]]
Wall_S7_1_10_vertical_flange.005 [[14.162, 7.132, 0.0], [14.372, 7.16, 4.4]]
Wall_S7_1_10_vertical_web.003 [[16.235, 7.0, 0.0], [16.305, 7.16, 4.4]]
Wall_S7_1_10_vertical_flange.006 [[16.165, 7.004, 0.0], [16.375, 7.032, 4.4]]
Wall_S7_1_10_vertical_flange.007 [[16.165, 7.132, 0.0], [16.375, 7.16, 4.4]]
Wall_S7_1_10_panel_joint [[12.127, 6.992, 1.3], [12.139, 7.008, 4.4]]
Wall_S7_1_10_panel_joint.001 [[14.261, 6.992, 1.3], [14.273, 7.008, 4.4]]
Wall_E4.4_0_7_concrete [[4.44, 7.0, 0.0], [4.74, 7.8, 4.4]]
Wall_E4.4_0_7_vertical_web [[4.24, 7.095, 0.0], [4.4, 7.165, 4.4]]
Wall_E4.4_0_7_vertical_flange [[4.368, 7.025, 0.0], [4.396, 7.235, 4.4]]
Wall_E4.4_0_7_vertical_flange.001 [[4.24, 7.025, 0.0], [4.268, 7.235, 4.4]]
Wall_E4.4_0_7_vertical_web.001 [[4.24, 7.635, 0.0], [4.4, 7.705, 4.4]]
Wall_E4.4_0_7_vertical_flange.002 [[4.368, 7.565, 0.0], [4.396, 7.775, 4.4]]
Wall_E4.4_0_7_vertical_flange.003 [[4.24, 7.565, 0.0], [4.268, 7.775, 4.4]]
Wall_E4.4_1_12.2_concrete [[4.44, 12.2, 0.0], [4.74, 13.2, 4.4]]
Wall_E4.4_1_12.2_vertical_web [[4.24, 12.295, 0.0], [4.4, 12.365, 4.4]]
Wall_E4.4_1_12.2_vertical_flange [[4.368, 12.225, 0.0], [4.396, 12.435, 4.4]]
Wall_E4.4_1_12.2_vertical_flange.001 [[4.24, 12.225, 0.0], [4.268, 12.435, 4.4]]
Wall_E4.4_1_12.2_vertical_web.001 [[4.24, 13.035, 0.0], [4.4, 13.105, 4.4]]
Wall_E4.4_1_12.2_vertical_flange.002 [[4.368, 12.965, 0.0], [4.396, 13.175, 4.4]]
Wall_E4.4_1_12.2_vertical_flange.003 [[4.24, 12.965, 0.0], [4.268, 13.175, 4.4]]
Wall_S7.8_0_4.4_concrete [[4.4, 7.46, 0.0], [6.07, 7.76, 4.4]]
Wall_S7.8_0_4.4_vertical_web [[4.495, 7.8, 0.0], [4.565, 7.96, 4.4]]
Wall_S7.8_0_4.4_vertical_flange [[4.425, 7.804, 0.0], [4.635, 7.832, 4.4]]
Wall_S7.8_0_4.4_vertical_flange.001 [[4.425, 7.932, 0.0], [4.635, 7.96, 4.4]]
Wall_S7.8_0_4.4_vertical_web.001 [[5.905, 7.8, 0.0], [5.975, 7.96, 4.4]]
Wall_S7.8_0_4.4_vertical_flange.002 [[5.835, 7.804, 0.0], [6.045, 7.832, 4.4]]
Wall_S7.8_0_4.4_vertical_flange.003 [[5.835, 7.932, 0.0], [6.045, 7.96, 4.4]]
Wall_S7.8_1_6.78_concrete [[6.78, 7.46, 0.0], [10.0, 7.76, 4.4]]
Wall_S7.8_1_6.78_vertical_web [[6.875, 7.8, 0.0], [6.945, 7.96, 4.4]]
Wall_S7.8_1_6.78_vertical_flange [[6.805, 7.804, 0.0], [7.015, 7.832, 4.4]]
Wall_S7.8_1_6.78_vertical_flange.001 [[6.805, 7.932, 0.0], [7.015, 7.96, 4.4]]
Wall_S7.8_1_6.78_vertical_web.001 [[8.355, 7.8, 0.0], [8.425, 7.96, 4.4]]
Wall_S7.8_1_6.78_vertical_flange.002 [[8.285, 7.804, 0.0], [8.495, 7.832, 4.4]]
Wall_S7.8_1_6.78_vertical_flange.003 [[8.285, 7.932, 0.0], [8.495, 7.96, 4.4]]
Wall_S7.8_1_6.78_vertical_web.002 [[9.835, 7.8, 0.0], [9.905, 7.96, 4.4]]
Wall_S7.8_1_6.78_vertical_flange.004 [[9.765, 7.804, 0.0], [9.975, 7.832, 4.4]]
Wall_S7.8_1_6.78_vertical_flange.005 [[9.765, 7.932, 0.0], [9.975, 7.96, 4.4]]
Wall_S7.8_1_6.78_panel_joint [[8.384, 7.792, 1.3], [8.396, 7.808, 4.4]]
Wall_N12.2_0_4.4_concrete [[4.4, 12.24, 0.0], [6.07, 12.54, 4.4]]
Wall_N12.2_0_4.4_vertical_web [[5.905, 12.04, 0.0], [5.975, 12.2, 4.4]]
Wall_N12.2_0_4.4_vertical_flange [[5.835, 12.168, 0.0], [6.045, 12.196, 4.4]]
Wall_N12.2_0_4.4_vertical_flange.001 [[5.835, 12.04, 0.0], [6.045, 12.068, 4.4]]
Wall_N12.2_0_4.4_vertical_web.001 [[4.495, 12.04, 0.0], [4.565, 12.2, 4.4]]
Wall_N12.2_0_4.4_vertical_flange.002 [[4.425, 12.168, 0.0], [4.635, 12.196, 4.4]]
Wall_N12.2_0_4.4_vertical_flange.003 [[4.425, 12.04, 0.0], [4.635, 12.068, 4.4]]
Wall_N12.2_1_6.78_concrete [[6.78, 12.24, 0.0], [10.0, 12.54, 4.4]]
Wall_N12.2_1_6.78_vertical_web [[9.835, 12.04, 0.0], [9.905, 12.2, 4.4]]
Wall_N12.2_1_6.78_vertical_flange [[9.765, 12.168, 0.0], [9.975, 12.196, 4.4]]
Wall_N12.2_1_6.78_vertical_flange.001 [[9.765, 12.04, 0.0], [9.975, 12.068, 4.4]]
Wall_N12.2_1_6.78_vertical_web.001 [[8.355, 12.04, 0.0], [8.425, 12.2, 4.4]]
Wall_N12.2_1_6.78_vertical_flange.002 [[8.285, 12.168, 0.0], [8.495, 12.196, 4.4]]
Wall_N12.2_1_6.78_vertical_flange.003 [[8.285, 12.04, 0.0], [8.495, 12.068, 4.4]]
Wall_N12.2_1_6.78_vertical_web.002 [[6.875, 12.04, 0.0], [6.945, 12.2, 4.4]]
Wall_N12.2_1_6.78_vertical_flange.004 [[6.805, 12.168, 0.0], [7.015, 12.196, 4.4]]
Wall_N12.2_1_6.78_vertical_flange.005 [[6.805, 12.04, 0.0], [7.015, 12.068, 4.4]]
Wall_N12.2_1_6.78_panel_joint [[8.384, 12.192, 1.3], [8.396, 12.208, 4.4]]
Wall_S6.15_0_6.07_concrete [[6.07, 5.81, 0.0], [6.78, 6.11, 4.4]]
Wall_S6.15_0_6.07_vertical_web [[6.165, 6.15, 0.0], [6.235, 6.31, 4.4]]
Wall_S6.15_0_6.07_vertical_flange [[6.095, 6.154, 0.0], [6.305, 6.182, 4.4]]
Wall_S6.15_0_6.07_vertical_flange.001 [[6.095, 6.282, 0.0], [6.305, 6.31, 4.4]]
Wall_S6.15_0_6.07_vertical_web.001 [[6.615, 6.15, 0.0], [6.685, 6.31, 4.4]]
Wall_S6.15_0_6.07_vertical_flange.002 [[6.545, 6.154, 0.0], [6.755, 6.182, 4.4]]
Wall_S6.15_0_6.07_vertical_flange.003 [[6.545, 6.282, 0.0], [6.755, 6.31, 4.4]]
Wall_E6.78_0_6.15_concrete [[6.82, 6.15, 0.0], [7.12, 7.8, 4.4]]
Wall_E6.78_0_6.15_vertical_web [[6.62, 6.245, 0.0], [6.78, 6.315, 4.4]]
Wall_E6.78_0_6.15_vertical_flange [[6.748, 6.175, 0.0], [6.776, 6.385, 4.4]]
Wall_E6.78_0_6.15_vertical_flange.001 [[6.62, 6.175, 0.0], [6.648, 6.385, 4.4]]
Wall_E6.78_0_6.15_vertical_web.001 [[6.62, 7.635, 0.0], [6.78, 7.705, 4.4]]
